Type,Questions,Answer,Code,Dataset_Name,Date_Generated
General Question,"What is the maximum IMDB_SCORE, where COUNTRY is 'Peru'?",5.52,"temp <- df[df$country == 'Peru', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where BUDGET is 'High'?",6.14,"temp <- df[df$Budget == 'High', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,What is the minimum IMDB_SCORE?,1.07,"round(min(df$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GROSS is 'Low'?",1.07,"temp <- df[df$Gross == 'Low', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,What is the mean IMDB_SCORE?,6.53,"round(mean(df$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where COUNTRY is not 'Bulgaria'?",6.53,"temp <- df[df$country != 'Bulgaria', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where BUDGET is 'Medium'?",1.61,"temp <- df[df$Budget == 'Medium', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where GROSS is not 'Medium'?",10.22,"temp <- df[df$Gross != 'Medium', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where BUDGET is not 'Medium' and GENRE is 'Family'?",8.39,"temp <- df[df$Budget != 'Medium' & df$genre == 'Family', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where COUNTRY is 'Australia'?",4.48,"temp <- df[df$country == 'Australia', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where GENRE is not 'Comedy' and COUNTRY is not 'Thailand'?",10.22,"temp <- df[df$genre != 'Comedy' & df$country != 'Thailand', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where COUNTRY is not 'Dominican Republic'?",6.53,"temp <- df[df$country != 'Dominican Republic', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,What is the maximum IMDB_SCORE?,10.22,"round(max(df$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where CONTENT is 'PG-13'?",9.79,"temp <- df[df$content == 'PG-13', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GENRE is 'Sci-Fi'?",1.81,"temp <- df[df$genre == 'Sci-Fi', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where CONTENT is 'R'?",10.22,"temp <- df[df$content == 'R', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where BUDGET is 'High'?",1.07,"temp <- df[df$Budget == 'High', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where CONTENT is not 'G'?",6.53,"temp <- df[df$content != 'G', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where CONTENT is not 'PG-13' and GROSS is not 'High'?",9.71,"temp <- df[df$content != 'PG-13' & df$Gross != 'High', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where GENRE is 'Action'?",9.42,"temp <- df[df$genre == 'Action', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where GROSS is 'High'?",10.22,"temp <- df[df$Gross == 'High', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where CONTENT is not 'R'?",9.79,"temp <- df[df$content != 'R', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where CONTENT is 'PG-13'?",6.29,"temp <- df[df$content == 'PG-13', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where CONTENT is 'G'?",1.61,"temp <- df[df$content == 'G', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GENRE is not 'History'?",1.07,"temp <- df[df$genre != 'History', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where GROSS is not 'Low' and COUNTRY is not 'Australia'?",6.43,"temp <- df[df$Gross != 'Low' & df$country != 'Australia', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where GENRE is 'Family'?",5.91,"temp <- df[df$genre == 'Family', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where COUNTRY is 'Sweden'?",7.88,"temp <- df[df$country == 'Sweden', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where GROSS is 'Medium'?",6.35,"temp <- df[df$Gross == 'Medium', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where BUDGET is not 'Medium'?",6.61,"temp <- df[df$Budget != 'Medium', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GENRE is 'Drama'?",2.24,"temp <- df[df$genre == 'Drama', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where COUNTRY is not 'South Africa' and GROSS is not 'Medium'?",1.07,"temp <- df[df$country != 'South Africa' & df$Gross != 'Medium', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
